plano_orcamentario_nome,instrumento_inicial,instrumento_inicial_gerado,Compara
COVID 19 - MEDIDA PROVISORIO N. 929 DE 25 DE MARCO DE 2020 - SEPESD,MP nº 929/2020,MP nº 929/2020,TRUE
"COVID-19 - MEDIDA PROVISORIA N. 929, DE 25 DE MARCO DE 2020",MP nº 929/2020,MP nº 929/2020,TRUE
COVID 19 - MEDIDA PROVISORIA N. 929 DE 25 DE MARCO DE 2020,MP nº 929/2020,MP nº 929/2020,TRUE
"COVID-19 - MEDIDA PROVISORIA N. 935, DE 1 DE ABRIL DE 2020 BENEFICIO EMERGENCIAL DE MANUTENCAO DO EMPREGO E DA RENDA",MP nº 935/2020,MP nº 935/2020,TRUE
"COVID-19 - MEDIDA PROVISORIA N. 935, DE 1 DE ABRIL DE 2020 SERVICOS DE TECNOLOGIA DA INFORMACAO PARA PAGAMENTO DO BENEFICIO EMERGENCIAL",MP nº 935/2020,MP nº 935/2020,TRUE
"COVID-19 - MEDIDA PROVISORIA N. 935,DE 1 DE ABRIL DE 2020 SERVICOS BANCARIOS PARA PAGAMENTO DO BENEFICIO EMERGENCIAL",MP nº 935/2020,MP nº 935/2020,TRUE
"COVID-19 - MEDIDA PROVISORIA N. 937, DE 2 DE ABRIL DE 2020",MP nº 937/2020,MP nº 972/2020,FALSE
"COVID-19 - MEDIDA PROVISORIA N. 940, DE 2 DE ABRIL DE 2020",Mp nº 940/2020,Mp nº 940/2020,TRUE
MEDIDA PROVISORIA N. 941 DE 2 DE ABRIL DE 2020 (RP7),MP nº 941/2020,MP nº 941/2020,TRUE
"COVID-19 - MEDIDA PROVISORIA N. 941, DE 2 DE ABRIL DE 2020",MP nº 941/2020,MP nº 941/2020,TRUE
"MEDIDA PROVISORIA N. 942, DE 2/4/2020",MP nº 942/2020,MP nº 944/2020,FALSE
"COVID-19 - MEDIDA PROVISORIA N. 942, DE 2 DE ABRIL DE 2020",MP nº 942/2020,MP nº 942/2020,TRUE
"COVID-19 - MEDIDA PROVISORIA N. 942, DE 2 DE ABRIL DE 2020 - ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS NO AMBITO DA FORCA NACIONAL",MP nº 942/2020,MP nº 942/2020,TRUE
"COVID-19 - MEDIDA PROVISORIA N. 942, DE 2 DE ABRIL DE 2020 - ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS NO AMBITO DA SENASP",MP nº 942/2020,MP nº 942/2020,TRUE
"COVID-19 - MEDIDA PROVISORIA N. 942, DE 2 DE ABRIL DE 2020 - ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS NO AMBITO DA CGPDS",MP nº 942/2020,MP nº 942/2020,TRUE
"COVID-19 - MEDIDA PROVISORIA N. 942, DE 2 DE ABRIL DE 2020 - ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS NO AMBITO DA CGETNO",MP nº 942/2020,MP nº 942/2020,TRUE
"COVID-19 - MEDIDA PROVISORIA N. 942, DE 2 DE ABRIL DE 2020 - ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS NO AMBITO DA CGMT",MP nº 942/2020,MP nº 942/2020,TRUE
"COVID-19 - MEDIDA PROVISORIA N. 942, DE 2 DE ABRIL DE 2020 - ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS NO AMBITO DA CGIIRC",MP nº 942/2020,MP nº 942/2020,TRUE
"MEDIDA PROVISORIA N. 942 DE 2/4/20, PARA ACOES NO AMBITO DAS INSTITUICOES FEDERAIS DE ENSINO SUPERIOR",MP nº 942/2020,MP nº 944/2020,FALSE
"MEDIDA PROVISORIA N. 942, DE 2/4/20, PARA ACOES NO AMBITO DAS INSTITUICOES FEDERAIS DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA",MP nº 942/2020,MP nº 944/2020,FALSE
"MEDIDA PROVISORIA N. 942, DE 02/04/2020",MP nº 942/2020,MP nº 944/2020,FALSE
"COVID-19 - MEDIDA PROVISORIA N. 947, DE 8 DE ABRIL DE 2020",MP nº 947/2020,MP nº 978/2020,FALSE
"COVID-19 - MEDIDA PROVISORIA N. 953, DE 15 DE ABRIL DE 2020",MP nº 953/2020,MP nº 953/2020,TRUE
"COVID-19 - MEDIDA PROVISORIA N. 956, DE 24 DE ABRIL DE 2020",MP nº 956/2020,MP nº 956/2020,TRUE
"COVID-19 - MEDIDA PROVISORIA N. 957, DE 24 DE ABRIL DE 2020",MP nº 957/2020,MP nº 957/2020,TRUE
"COVID-19 - MEDIDA PROVISORIA N. 962, DE 6 DE MAIO DE 2020 - PESQUISA E DESENVOLVIMENTO NAS AREAS DE BIOTECNOLOGIA E SAUDE",MP nº 962/2020,MP nº 962/2020,TRUE
"COVID-19 - MEDIDA PROVISORIA N. 962, DE 6 DE MAIO DE 2020 - DESENVOLVIMENTO DE SOLUCOES INOVADORAS OU DE BAIXO CUSTO PARA KITS DE DIAGNOSTICO",MP nº 962/2020,MP nº 962/2020,TRUE
"COVID-19 - MEDIDA PROVISORIA N. 962, DE 6 DE MAIO DE 2020 - ENSAIOS CLINICOS DE FARMACOS E ESTRUTURACAO DE LABORATORIO DE NIVEL DE BIOSSEGURANCA SUPERIOR",MP nº 962/2020,MP nº 962/2020,TRUE
COVID-19 - MEDIDA PROVISORIA N. 962 DE 6 DE MAIO DE 2020 - SERVICOS CONSULARES E DE ASSISTENCIA A BRASILEIROS NO EXTERIOR,MP nº 962/2020,MP nº 962/2020,TRUE
"COVID-19 - MEDIDA PROVISORIA N. 963, DE 7 DE MAIO DE 2020 - CONCESSAO DE FINANCIAMENTO AO SETOR DE TURISMO NO AMBITO DO FUNGETUR",MP nº 963/2020,MP nº 963/2020,TRUE
"COVID-19 - MEDIDA PROVISORIA N. 965, DE 13 DE MAIO DE 2020",MP nº 965/2020,MP nº 953/2020,FALSE
COVID-19 - MEDIDA PROVISORIA N. 965 DE 13 DE MAIO DE 2020,MP nº 965/2020,MP nº 953/2020,FALSE
"COVID-19 - MEDIDA PROVISORIA N. 967, DE 19 DE MAIO DE 2020",MP nº 967/2020,MP nº 967/2020,TRUE
"COVID-19 - MEDIDA PROVISORIA N. 969, DE 20 DE MAIO DE 2020",MP nº 969/2020,MP nº 990/2020,FALSE
"COVID-19 - MEDIDA PROVISORIA N. 970, DE 25 DE MAIO DE 2020",MP nº 970/2020,MP nº 970/2020,TRUE
"COVID-19 - MEDIDA PROVISORIA N. 976, DE 4 DE JUNHO DE 2020",MP nº 976/2020,MP nº 976/2020,TRUE
COVID 19 - MEDIDA PROVISORIA N. 985 DE 25 DE JUNHO DE 2020,MP nº 985/2020,MP nº 985/2020,TRUE
"COVID-19 - MEDIDA PROVISORIA N. 988, DE 30 DE JUNHO DE 2020",MP nº 988/2020,MP nº 988/2020,TRUE
"COVID-19 - MEDIDA PROVISORIA N. 994, DE 6 DE AGOSTO DE 2020 - PROCESSAMENTO FINAL E ABSORCAO DE TECNOLOGIA DE VACINA",MP nº 994/2020,MP nº 994/2020,TRUE
"COVID-19 - MEDIDA PROVISORIA N. 999, DE 2 SETEMBRO DE 2020",MP nº 999/2020,MP nº 999/2020,TRUE
REFORCO DE RECURSOS PARA EMERGENCIA INTERNACIONAL EM SAUDE PUBLICA - CORONAVIRUS,REFORCO DE RECURSOS PARA EMERGENCIA INTERNACIONAL EM SAUDE PUBLICA - CORONAVIRUS,Lei nº 13.982/2020,FALSE
